chr19:15778978-15778978	chr19:15917978-15917978
chr3:156316964-156316964	chr3:154834270-154834270
chr21:30690476-30690476	chr21:31768605-31768605
chr1:35252949-35252949	chr1:35480362-35480362
chr17:37586434-37586434	chr17:40332908-40332908
chr12:21345444-21345444	chr12:21454177-21454177
chr16:31447512-31447512	chr16:31540011-31540011
chr22:25018600-25018600	chr22:26688600-26688600
chr11:92342595-92342595	chr11:92702947-92702947
chr18:6452311-6452311	chr18:6462311-6462311
chr9:37878029-37878029	chr9:37888029-37888029
chr4:9313841-9313841	chr4:9704743-9704743
chr10:51418563-51418563	chr10:51748557-51748557
chr1:180293276-180293276	chr1:182026653-182026653
chr6:128430463-128430463	chr6:128388770-128388770
chr7:130846611-130846611	chr7:131196071-131196071
chr11:49960412-49960412	chr11:50003836-50003836
chr19:10325312-10325312	chr19:10464312-10464312
chr2:102007525-102007525	chr2:102641093-102641093
chr15:42411543-42411543	chr15:44624251-44624251
chr6:37355143-37355143	chr6:37247165-37247165
chrNT_113888:11090-11090	NA
chr9:103349601-103349601	chr9:104309780-104309780
chr16:82633123-82633123	chr16:84075622-84075622
chr6:10016754-10016754	chr6:9908768-9908768
chr10:94826879-94826879	chr10:94836889-94836889
chr19:61062337-61062337	chr19:56370525-56370525
chr15:48991585-48991585	chr15:51204293-51204293
chr2:219270101-219270101	chr2:219561857-219561857
chr17:72068804-72068804	chr17:74557209-74557209
chr12:79635369-79635369	chr12:81111238-81111238
chr14:95865646-95865646	chr14:96795893-96795893
chr15:89352178-89352178	chr15:91551174-91551174
chrX:50069856-50069856	chrX:50053116-50053116
chr17:7518284-7518284	chr17:7577559-7577559
chr5:56269227-56269227	chr5:56233470-56233470
chr11:55460450-55460450	chr11:55703874-55703874
chr17:10346890-10346890	chr17:10406165-10406165
chr13:113155616-113155616	chr13:114107615-114107615
chrX:24740798-24740798	chrX:24830877-24830877
chr17:34251052-34251052	chr17:36997526-36997526
chr9:112291858-112291858	chr9:113252037-113252037
chr5:167407052-167407052	chr5:167474474-167474474
chr1:45253614-45253614	chr1:45481027-45481027
chr18:55834885-55834893	chr18:57683905-57683913
chr20:62095273-62095273	chr20:62624829-62624829
chr17:44938823-44938823	chr17:47583824-47583824
chr22:43589254-43589254	chr22:45210590-45210590
chr4:68480322-68480322	chr4:68797727-68797727
chr14:74624970-74624970	chr14:75555217-75555217
chr10:89701853-89701853	chr10:89711873-89711873
chr10:1160258-1160258	chr10:1170258-1170258
chr11:18543105-18543105	chr11:18586529-18586529
chr19:57809433-57809433	chr19:53117621-53117621
chr8:145554562-145554562	chr8:145583754-145583754
chr2:234334078-234334078	chr2:234669339-234669339
chr11:110730350-110730350	chr11:111225140-111225140
chr4:94595842-94595842	chr4:94376819-94376819
chr7:99640659-99640659	chr7:99802723-99802723
chr11:1607733-1607733	chr11:1651157-1651157
chr2:175450826-175450826	chr2:175742580-175742580
chr10:50203209-50203209	chr10:50533203-50533203
chr9:35034783-35034783	chr9:35044783-35044783
chr5:1142099-1142099	chr5:1089099-1089099
chr22:30548713-30548713	chr22:32218713-32218713
chr1:71849309-71849309	chr1:72076721-72076721
chr18:72721154-72721154	chr18:74592166-74592166
chr7:87375356-87375356	chr7:87537420-87537420
chr1:78866235-78866235	chr1:79093647-79093647
chr2:154806880-154806880	chr2:155098634-155098634
chr1:173595417-173595417	chr1:175328794-175328794
chr19:14535819-14535819	chr19:14674819-14674819
chr17:76795255-76795255	chr17:79180660-79180660
chr11:5279517-5279517	chr11:5322941-5322941
chr2:235626052-235626052	chr2:235961313-235961313
chr13:19465974-19465974	chr13:20567974-20567974
chr12:50593636-50593636	chr12:52307369-52307369
chr3:186806958-186806958	chr3:185324264-185324264
chr7:21606197-21606197	chr7:21639672-21639672
chr2:73309541-73309541	chr2:73456033-73456033
chr1:45808202-45808202	chr1:46035615-46035615
chr14:77230987-77230987	chr14:78161234-78161234
chr2:210727286-210727286	chr2:211019041-211019041
chr5:76914531-76914531	chr5:76878775-76878775
chr5:149196753-149196753	chr5:149216560-149216560
chr6:30621965-30621965	chr6:30513986-30513986
chr19:45090206-45090206	chr19:40398366-40398366
chrX:144883550-144883550	chrX:145075858-145075858
chr6:34167836-34167836	chr6:34059858-34059858
chr1:245721521-245721521	chr1:247654898-247654898
chr3:99440060-99440060	chr3:97957370-97957370
chr6:47096446-47096446	chr6:46988487-46988487
chr3:161715992-161715992	chr3:160233298-160233298
chr1:94260045-94260045	chr1:94487457-94487457
chr17:36992304-36992304	chr17:39738778-39738778
chr6:46933923-46933923	chr6:46825964-46825964
chr9:134267198-134267198	chr9:135277377-135277377
chr5:86215942-86215942	chr5:86180186-86180186
chr9:107523659-107523659	chr9:108483838-108483838
chr2:132083451-132083451	chr2:132366981-132366981
chr1:45242193-45242193	chr1:45469606-45469606
chr3:153633244-153633244	chr3:152150554-152150554
chr19:12499047-12499047	chr19:12638047-12638047
chr18:54738571-54738571	chr18:56587591-56587591
chr21:29443389-29443389	chr21:30521518-30521518
chr3:49039169-49039169	chr3:49064165-49064165
chr16:28075189-28075189	chr16:28167688-28167688
chr1:106425168-106425168	chr1:106623645-106623645
chr5:60095881-60095881	chr5:60060124-60060124
chr2:25826289-25826289	chr2:25972785-25972785
chr1:119878479-119878479	chr1:120076956-120076956
chr1:53316909-53316909	chr1:53544321-53544321
chr1:82208796-82208796	chr1:82436208-82436208
chr19:41931059-41931059	chr19:37239219-37239219
chr14:105279456-105279456	chr14:106208411-106208411
chr2:215967656-215967656	chr2:216259411-216259411
chr7:23348229-23348229	chr7:23381704-23381704
chr3:185589421-185589421	chr3:184106727-184106727
chr16:171070-171070	chr16:231070-231070
chr9:123129569-123129569	chr9:124089748-124089748
chr19:2389255-2389255	chr19:2438255-2438255
chr16:21122891-21122891	chr16:21215390-21215390
chr3:113188535-113188535	chr3:111705845-111705845
chr1:181799196-181799196	chr1:183532573-183532573
chr6:158820788-158820788	chr6:158900800-158900800
chr6:57163257-57163257	chr6:57055298-57055298
chr8:6677656-6677656	chr8:6690246-6690246
chr5:37022110-37022110	chr5:36986353-36986353
chr8:13001645-13001645	chr8:12957274-12957274
chr13:110085052-110085052	chr13:111287051-111287051
chr5:140720966-140720966	chr5:140740782-140740782
chrX:150843244-150843244	chrX:151092588-151092588
chr20:5852368-5852368	chr20:5904368-5904368
chr13:58003065-58003065	chr13:59105064-59105064
chr17:23986676-23986676	chr17:26962549-26962549
chr14:92884181-92884181	chr14:93814428-93814428
chr12:111189162-111189162	chr12:112704779-112704779
chr6:30417856-30417856	chr6:30309877-30309877
chr10:127728178-127728178	chr10:127738188-127738188
chr15:26851126-26851126	chr15:29052085-29052085
chr3:197772650-197772650	chr3:196288253-196288253
chrX:72583952-72583952	chrX:72667227-72667227
chr10:53128642-53128642	chr10:53458636-53458636
chr3:156317468-156317468	chr3:154834774-154834774
chr17:16266799-16266799	chr17:16326074-16326074
chrX:79716977-79716977	chrX:79830321-79830321
chr7:45107727-45107727	chr7:45141202-45141202
chr17:5026919-5026919	chr17:5086195-5086195
chr17:45628314-45628331	chr17:48273315-48273332
chr2:185511597-185511597	chr2:185803352-185803352
chr19:59069049-59069049	chr19:54377237-54377237
chr11:66572751-66572751	chr11:66816175-66816175
chr17:69331455-69331455	chr17:71819860-71819860
chr4:57052412-57052412	chr4:57357655-57357655
chr1:150544358-150544358	chr1:152277734-152277734
chr1:108944806-108944806	chr1:109143283-109143283
chr10:100007737-100007737	chr10:100017747-100017747
chr6:90569826-90569826	chr6:90513105-90513105
chr10:101170481-101170499	chr10:101180491-101180509
chrY:10647825-10647825	chrY:10037825-10037825
chr18:3869421-3869421	chr18:3879421-3879421
chr1:143993053-143993053	chr1:145281696-145281696
chr1:148125414-148125414	chr1:149858790-149858790
chr9:103375450-103375450	chr9:104335629-104335629
chr15:76056754-76056754	chr15:78269699-78269699
chr5:56813511-56813511	chr5:56777754-56777754
chr15:19974379-19974388	chr15:22473015-22473024
chr1:41822603-41822603	chr1:42050016-42050016
chr16:69623136-69623136	chr16:71065635-71065635
chr1:159836058-159836058	chr1:161569434-161569434
chr4:2047001-2047001	chr4:2077203-2077203
chr1:209037572-209037572	chr1:210970949-210970949
chr9:36655487-36655488	chr9:36665487-36665488
chr21:44775380-44775380	chr21:45950952-45950952
chr17:40359064-40359064	chr17:43003538-43003538
chr10:70112643-70112643	chr10:70442637-70442637
chr11:20014109-20014109	chr11:20057533-20057533
chr1:91504253-91504253	chr1:91731665-91731665
chr7:149189516-149189516	chr7:149558583-149558583
chr1:75457608-75457608	chr1:75685020-75685020
chr13:97890293-97890293	chr13:99092292-99092292
chr2:135627917-135627917	chr2:135911447-135911447
chr8:51513708-51513708	chr8:51351155-51351155
chr5:7919095-7919095	chr5:7866095-7866095
chr5:76034160-76034160	chr5:75998404-75998404
chr19:47046564-47046564	chr19:42354724-42354724
chr1:213880576-213880576	chr1:215813953-215813953
chr11:3537624-3537624	chr11:3581048-3581048
chr17:3128409-3128409	chr17:3181659-3181659
chr18:71127141-71127141	chr18:72998153-72998153
chr15:34697618-34697618	chr15:36910326-36910326
chrX:72011415-72011415	chrX:72094690-72094690
chr3:49027725-49027725	chr3:49052721-49052721
chr4:57566337-57566337	chr4:57871580-57871580
chr4:87134791-87134791	chr4:86915767-86915767
chr12:121917902-121917902	chr12:123351949-123351949
chr16:3280128-3280129	chr16:3340127-3340128
chrMT:15340-15340	NA
chr5:37363574-37363574	chr5:37327817-37327817
chr15:39894760-39894760	chr15:42107468-42107468
chr8:95004751-95004751	chr8:94935575-94935575
chr6:132063466-132063466	chr6:132021773-132021773
chr4:55663369-55663369	chr4:55968612-55968612
chr19:20599743-20599743	chr19:20807903-20807903
chr17:7514760-7514760	chr17:7574035-7574035
chr2:43952748-43952748	chr2:44099244-44099244
chr22:35018157-35018157	chr22:36688211-36688211
chr17:75779195-75779195	chr17:78164600-78164600
chr6:159381791-159381791	chr6:159461803-159461803
chr5:178342572-178342572	chr5:178409966-178409966
chrNT_113930:117722-117722	NA
chr16:9094348-9094348	chr16:9186847-9186847
chr1:22030132-22030132	chr1:22157545-22157545
chr19:17272733-17272733	chr19:17411733-17411733
chr7:93393392-93393392	chr7:93555456-93555456
chr18:28772006-28772006	chr18:30518008-30518008
chr19:47276075-47276075	chr19:42584235-42584235
chr12:97451535-97451535	chr12:98927404-98927404
chr11:102323888-102323888	chr11:102818678-102818678
chr1:33849298-33849298	chr1:34076711-34076711
chr7:91916105-91916105	chr7:92078169-92078169
chr7:72051851-72051851	chr7:72413915-72413915
chr3:194535532-194535532	chr3:193052838-193052838
chr7:55527535-55527535	chr7:55560041-55560041
chr19:18996921-18996921	chr19:19135921-19135921
chr1:229160614-229160614	chr1:231093991-231093991
chr20:30248047-30248047	chr20:30784386-30784386
chr21:39699715-39699715	chr21:40777845-40777845
chr9:27284324-27284324	chr9:27294324-27294324
chr12:45044731-45044731	chr12:46758464-46758464
chr2:161998991-161998992	chr2:162290745-162290746
chr15:87559448-87559448	chr15:89758444-89758444
chr11:63641996-63641996	chr11:63885420-63885420
chr5:146066127-146066127	chr5:146085934-146085934
chr6:32030823-32030823	chr6:31922844-31922844
chr2:227368809-227368809	chr2:227660565-227660565
chr3:100023798-100023798	chr3:98541108-98541108
chr1:158168958-158168958	chr1:159902334-159902334
chr5:38463035-38463035	chr5:38427278-38427278
chr3:64576130-64576130	chr3:64601090-64601090
chr15:49616352-49616352	chr15:51829060-51829060
chr10:117874791-117874791	chr10:117884801-117884801
chr6:88911628-88911651	chr6:88854909-88854932
chr19:10259777-10259777	chr19:10398777-10398777
chr3:46546468-46546468	chr3:46571464-46571464
chr1:46934857-46934857	chr1:47162270-47162270
chr1:151925827-151925827	chr1:153659203-153659203
chr2:128244872-128244872	chr2:128528402-128528402
chr14:89796211-89796211	chr14:90726458-90726458
chr14:92477985-92477985	chr14:93408232-93408232
chr22:44705843-44705843	chr22:46327179-46327179
chr5:3652675-3652675	chr5:3599675-3599675
chr16:21125773-21125773	chr16:21218272-21218272
chr10:79407343-79407343	chr10:79737337-79737337
chr13:42770524-42770524	chr13:43872524-43872524
chr2:241270980-241270980	chr2:241622307-241622307
chr11:35945776-35945776	chr11:35989200-35989200
chr6:56612468-56612468	chr6:56504509-56504509
chr12:13608728-13608728	chr12:13717461-13717461
chr14:99685698-99685698	chr14:100615945-100615945
chr5:89989701-89989701	chr5:89953945-89953945
chr18:55090632-55090632	chr18:56939652-56939652
chr5:150867315-150867315	chr5:150887122-150887122
chr6:166753407-166753407	chr6:166833417-166833417
chr17:16980287-16980289	chr17:17039562-17039564
chr9:123322415-123322415	chr9:124282594-124282594
chr11:102072700-102072700	chr11:102567490-102567490
chr16:21439018-21439018	chr16:21531517-21531517
chr18:12502507-12502507	chr18:12512507-12512507
chr15:82443004-82443004	chr15:84652000-84652000
chr1:228989900-228989900	chr1:230923277-230923277
chrMT:14767-14767	NA
chr19:12245612-12245612	chr19:12384612-12384612
chr10:104455180-104455180	chr10:104465190-104465190
chr21:39592253-39592253	chr21:40670383-40670383
chr5:138743846-138743846	chr5:138715947-138715947
chr14:57675770-57675770	chr14:58606017-58606017
chr16:88340766-88340766	chr16:89813265-89813265
chr6:29431230-29431230	chr6:29323251-29323251
chr10:71544879-71544879	chr10:71874873-71874873
chr2:241783795-241783795	chr2:242135122-242135122
chr8:86909940-86909940	chr8:86840652-86840652
chr1:150926230-150926230	chr1:152659606-152659606
chr10:88267627-88267627	chr10:88277647-88277647
chr1:22084454-22084454	chr1:22211867-22211867
chr1:148165719-148165720	chr1:149899095-149899096
chr1:172139747-172139747	chr1:173873124-173873124
chr20:18489310-18489310	chr20:18541310-18541310
chr1:55092355-55092355	chr1:55319767-55319767
chr19:53936917-53936917	chr19:49245105-49245105
chr12:88508975-88508975	chr12:89984844-89984844
chr9:3215132-3215132	chr9:3225132-3225132
chr12:40967491-40967491	chr12:42681224-42681224
chr17:32374403-32374403	chr17:35300290-35300290
chr8:35703434-35703434	chr8:35583892-35583892
chr6:36750096-36750096	chr6:36642118-36642118
chr10:52156920-52156920	chr10:52486914-52486914
chr3:38810281-38810281	chr3:38835277-38835277
chr17:59303397-59303397	chr17:61949665-61949665
chr12:110994157-110994157	chr12:112509774-112509774
chr21:30631405-30631405	chr21:31709534-31709534
chr19:12868161-12868161	chr19:13007161-13007161
chr15:99142033-99142033	chr15:101324510-101324510
chr22:14742633-14742633	chr22:16362633-16362633
chr12:14718955-14718955	chr12:14827688-14827688
chr3:161623988-161623988	chr3:160141294-160141294
chr19:43700050-43700050	chr19:39008210-39008210
chr1:36710742-36710742	chr1:36938155-36938155
chr1:35953999-35953999	chr1:36181412-36181412
chr16:12053347-12053347	chr16:12145846-12145846
chr19:52920913-52920913	chr19:48229101-48229101
chr19:8702880-8702880	chr19:8841880-8841880
chr11:65948232-65948232	chr11:66191656-66191656
chr14:69782334-69782334	chr14:70712581-70712581
chr17:7737329-7737329	chr17:7796604-7796604
chr2:218811742-218811742	chr2:219103497-219103497
chr2:1905921-1905921	chr2:1926914-1926914
chr1:151036938-151036938	chr1:152770314-152770314
chr6:24253886-24253886	chr6:24145907-24145907
chr18:7013221-7013221	chr18:7023221-7023221
chr15:70741851-70741851	chr15:72954797-72954797
chr10:127714738-127714738	chr10:127724748-127724748
chr6:130517712-130517712	chr6:130476019-130476019
chr1:94294784-94294784	chr1:94522196-94522196
chr3:196996607-196996607	chr3:195512212-195512212
chr13:37123539-37123539	chr13:38225539-38225539
chr7:44703122-44703122	chr7:44736597-44736597
chr1:62512158-62512158	chr1:62739570-62739570
chr6:31027532-31027532	chr6:30919553-30919553
chr14:72624553-72624553	chr14:73554800-73554800
chr6:25708631-25708631	chr6:25600652-25600652
chr4:114423328-114423328	chr4:114203879-114203879
chr12:876048-876048	chr12:1005787-1005787
chr4:170564388-170564388	chr4:170327813-170327813
chr12:55110951-55110951	chr12:56824684-56824684
chr13:24721558-24721558	chr13:25823558-25823558
chrMT:4992-4992	NA
chr11:116235414-116235414	chr11:116730204-116730204
chr3:87100499-87100499	chr3:87017809-87017809
chr3:66513796-66513796	chr3:66431106-66431106
chr1:104417602-104417602	chr1:104616079-104616079
chr3:43364563-43364563	chr3:43389559-43389559
chr12:55870867-55870867	chr12:57584600-57584600
chr11:1222214-1222214	chr11:1265638-1265638
chr1:110101304-110101304	chr1:110299781-110299781
chr7:87352366-87352366	chr7:87514430-87514430
chr3:25752644-25752644	chr3:25777640-25777640
chr15:39066625-39066625	chr15:41279333-41279333
chr21:44622067-44622067	chr21:45797639-45797639
chr5:176691850-176691850	chr5:176759244-176759244
chr17:7518304-7518304	chr17:7577579-7577579
chr16:31295720-31295720	chr16:31388219-31388219
chr2:132778692-132778693	chr2:133062222-133062223
chr2:24787366-24787366	chr2:24933862-24933862
chr15:38887191-38887192	chr15:41099899-41099900
chr1:151000415-151000415	chr1:152733791-152733791
chrMT:8937-8937	NA
chr3:11315845-11315845	chr3:11340845-11340845
chr2:241097526-241097526	chr2:241448853-241448853
chr6:132686919-132686919	chr6:132645226-132645226
chr19:55059141-55059141	chr19:50367329-50367329
chr6:30746954-30746954	chr6:30638975-30638975
chr11:133296301-133296301	chr11:133791091-133791091
chr5:155704105-155704105	chr5:155771527-155771527
chr19:10333497-10333497	chr19:10472497-10472497
chr8:91051850-91051850	chr8:90982674-90982674
chr2:74617525-74617525	chr2:74764017-74764017
chr3:159303330-159303330	chr3:157820636-157820636
chr16:30898853-30898853	chr16:30991352-30991352
chr6:49812123-49812123	chr6:49704164-49704164
chr17:77040472-77040472	chr17:79425877-79425877
chr1:209259167-209259167	chr1:211192544-211192544
chr2:69996008-69996008	chr2:70142504-70142504
chr17:22998444-22998444	chr17:25974317-25974317
chrX:84249181-84249181	chrX:84362525-84362525
chr7:15437178-15437178	chr7:15470653-15470653
chr4:84593447-84593447	chr4:84374423-84374423
chr7:48251113-48251113	chr7:48280567-48280567
chr6:20598443-20598443	chr6:20490464-20490464
chr8:100473063-100473063	chr8:100403887-100403887
chr7:99655544-99655544	chr7:99817608-99817608
chr2:198071746-198071746	chr2:198363501-198363501
chr19:45773195-45773195	chr19:41081355-41081355
chr3:150357962-150357962	chr3:148875272-148875272
chr2:20267348-20267348	chr2:20403867-20403867
chr2:100282737-100282737	chr2:100916305-100916305
chr14:70345300-70345300	chr14:71275547-71275547
chr1:153108824-153108826	chr1:154842200-154842202
chr13:109974092-109974092	chr13:111176091-111176091
chr4:44377564-44377574	chr4:44682807-44682817
chr6:52951294-52951294	chr6:52843335-52843335
chr2:130833492-130833492	chr2:131117022-131117022
chr19:38047502-38047502	chr19:33355662-33355662
chr1:167705855-167705855	chr1:169439231-169439231
chr20:61795037-61795037	chr20:62324593-62324593
chr7:75027068-75027068	chr7:75189132-75189132
chr2:179162782-179162782	chr2:179454536-179454536
chr15:89249691-89249691	chr15:91448687-91448687
chr22:35829334-35829334	chr22:37499388-37499388
chr16:56243011-56243011	chr16:57685510-57685510
chr1:235234183-235234183	chr1:237167560-237167560
chr7:143691427-143691427	chr7:144060494-144060494
chr19:54552336-54552336	chr19:49860524-49860524
chr6:74285932-74285932	chr6:74229211-74229211
chr1:25756337-25756337	chr1:25883750-25883750
chr13:49488108-49488108	chr13:50590107-50590107
chr6:32832219-32832219	chr6:32724241-32724241
chr5:175959148-175959148	chr5:176026542-176026542
chr16:3579413-3579413	chr16:3639412-3639412
chr7:41696166-41696166	chr7:41729641-41729641
chr13:113644732-113644732	chr13:114469211-114469211
chr7:117218734-117218734	chr7:117431498-117431498
chr14:19474516-19474516	chr14:20404676-20404676
chr4:122901058-122901058	chr4:122681608-122681608
chr22:49005133-49005133	chr22:50663006-50663006
chr22:29676425-29676425	chr22:31346425-31346425
chr7:30975207-30975207	chr7:31008682-31008682
chr2:165073307-165073307	chr2:165365061-165365061
chr4:169839109-169839109	chr4:169602534-169602534
chr1:246617734-246617734	chr1:248551111-248551111
chr2:179363073-179363073	chr2:179654828-179654828
chr10:29006851-29006851	chr10:28966845-28966845
chr12:123378080-123378080	chr12:124812127-124812127
chrX:104351449-104351449	chrX:104464793-104464793
chr20:207879-207879	chr20:259879-259879
chr11:55814569-55814569	chr11:56057993-56057993
chr4:6428462-6428462	chr4:6377561-6377561
chr9:26896068-26896068	chr9:26906068-26906068
chr1:183375852-183375852	chr1:185109229-185109229
chrMT:11149-11149	NA
chr5:156591974-156591974	chr5:156659396-156659396
chr1:50084412-50084412	chr1:50311825-50311825
chr12:49747751-49747755	chr12:51461484-51461488
chr21:36993997-36993997	chr21:38072127-38072127
chr17:40348004-40348004	chr17:42992478-42992478
chr3:108579576-108579576	chr3:107096886-107096886
chr20:57329482-57329482	chr20:57896087-57896087
chr13:91206577-91206577	chr13:92408576-92408576
chr1:150549211-150549211	chr1:152282587-152282587
chr9:102374728-102374728	chr9:103334907-103334907
chr13:49194165-49194165	chr13:50296164-50296164
chrX:15780519-15780519	chrX:15870598-15870598
chr17:2211725-2211725	chr17:2264975-2264975
chr6:86338762-86338762	chr6:86282043-86282043
chr11:16804498-16804498	chr11:16847922-16847922
chr2:179148382-179148382	chr2:179440136-179440136
chr1:209552809-209552809	chr1:211486186-211486186
chr9:79174033-79174033	chr9:79984213-79984213
chr16:31039162-31039162	chr16:31131661-31131661
chr7:133399816-133399816	chr7:133749276-133749276
chr1:227507655-227507655	chr1:229441032-229441032
chr9:95273394-95273394	chr9:96233573-96233573
chr9:95478902-95478902	chr9:96439081-96439081
chr1:199449361-199449361	chr1:201182738-201182738
chr22:38587758-38587758	chr22:40257812-40257812
chr1:109822189-109822189	chr1:110020666-110020666
chr7:1098937-1098937	chr7:1132411-1132411
chr5:114888759-114888759	chr5:114860860-114860860
chr9:102148220-102148220	chr9:103108399-103108399
chr12:20777260-20777260	chr12:20885993-20885993
chr11:6381550-6381550	chr11:6424974-6424974
chr22:18838524-18838524	chr22:20458524-20458524
chr19:22639756-22639756	chr19:22847916-22847916
chr6:38883472-38883472	chr6:38775494-38775494
chr3:89472852-89472852	chr3:89390162-89390162
chr2:166638242-166638242	chr2:166929996-166929996
chr19:61396143-61396143	chr19:56704331-56704331
chrMT:13782-13782	NA
chr5:1627405-1627405	chr5:1574405-1574405
chr11:61716219-61716219	chr11:61959643-61959643
chr7:142764027-142764027	chr7:143053905-143053905
chr2:111131595-111131595	chr2:111415122-111415122
chr19:41201745-41201745	chr19:36509905-36509905
chr19:54626211-54626211	chr19:49934399-49934399
chr14:91985174-91985174	chr14:92915421-92915421
chr7:56912657-56912657	chr7:56945163-56945163
chr11:123353559-123353559	chr11:123848349-123848349
chr15:77535716-77535716	chr15:79748661-79748661
chr7:122892187-122892187	chr7:123104951-123104951
chr16:66536515-66536533	chr16:67979014-67979032
chr9:102244052-102244052	chr9:103204231-103204231
chr8:106880321-106880321	chr8:106811145-106811145
chr2:55998861-55998861	chr2:56145357-56145357
chr1:12910536-12910536	chr1:12987949-12987949
chr7:148117844-148117844	chr7:148486911-148486911
chrX:48563541-48563541	chrX:48678597-48678597
chr8:38266113-38266113	chr8:38146956-38146956
chr1:154481306-154481306	chr1:156214682-156214682
chr17:7517742-7517742	chr17:7577017-7577017
chr19:10555741-10555741	chr19:10694741-10694741
chrX:130046674-130046674	chrX:130218993-130218993
chr20:3714420-3714420	chr20:3766420-3766420
chr17:71569211-71569211	chr17:74057616-74057616
chr7:55831149-55831149	chr7:55863655-55863655
chr15:28896033-28896033	chr15:31108741-31108741
chr7:149956336-149956336	chr7:150325403-150325403
chr5:52132644-52132644	chr5:52096887-52096887
chr21:33896449-33896449	chr21:34974579-34974579
chr22:21377213-21377213	chr22:23047213-23047213
chr2:114205691-114205691	chr2:114489221-114489221
chr8:7142168-7142168	chr8:7154758-7154758
chr17:55867753-55867753	chr17:58512971-58512971
chr10:123269664-123269664	chr10:123279674-123279674
chr5:39038396-39038396	chr5:39002639-39002639
chr10:26862429-26862429	chr10:26822423-26822423
chr13:41681556-41681556	chr13:42783556-42783556
chr11:45892769-45892769	chr11:45936193-45936193
chr11:5834792-5834792	chr11:5878216-5878216
chr11:133636855-133636855	chr11:134131645-134131645
chr3:143581705-143581705	chr3:142099015-142099015
chr4:6165463-6165463	chr4:6114562-6114562
chr19:15748301-15748301	chr19:15887301-15887301
chrX:79172788-79172788	chrX:79286132-79286132
chr19:11269870-11269870	chr19:11408870-11408870
chr3:38593274-38593274	chr3:38618270-38618270
chr2:187953440-187953440	chr2:188245195-188245195
chr15:100206948-100206948	chr15:102389425-102389425
chr7:98412205-98412205	chr7:98574269-98574269
chr14:23728592-23728592	chr14:24658752-24658752
chr12:19986448-19986448	chr12:20095181-20095181
chr22:36603918-36603918	chr22:38273972-38273972
chr15:73286756-73286756	chr15:75499703-75499703
chr4:126628049-126628049	chr4:126408599-126408599
chr17:7518928-7518928	chr17:7578203-7578203
chr8:77780592-77780592	chr8:77618037-77618037
chr2:71060436-71060436	chr2:71206928-71206928
chr1:245681443-245681443	chr1:247614820-247614820
chr11:5980433-5980433	chr11:6023857-6023857
chr16:79623743-79623743	chr16:81066242-81066242
chr8:53193480-53193480	chr8:53030927-53030927
chr19:54366797-54366797	chr19:49674985-49674985
chr6:30788611-30788611	chr6:30680632-30680632
chr1:74810030-74810030	chr1:75037442-75037442
chr16:389125-389125	chr16:449124-449124
chr12:131198409-131198409	chr12:132632456-132632456
chr1:78156518-78156527	chr1:78383930-78383939
chr17:34145226-34145226	chr17:36891700-36891700
chr15:52092563-52092563	chr15:54305271-54305271
chr8:3007150-3007150	chr8:3019743-3019743
chr1:110003298-110003298	chr1:110201775-110201775
chr10:105320859-105320859	chr10:105330869-105330869
chr9:137849665-137849665	chr9:138709844-138709844
chr8:33528420-33528420	chr8:33408878-33408878
chr10:103520230-103520230	chr10:103530240-103530240
chr9:35367622-35367622	chr9:35377622-35377622
chr22:21037543-21037543	chr22:22707543-22707543
chr15:20549922-20549922	chr15:22998481-22998481
chr12:51962410-51962410	chr12:53676143-53676143
chr6:34339284-34339284	chr6:34231306-34231306
chr6:26164516-26164516	chr6:26056537-26056537
chr2:227936715-227936715	chr2:228228471-228228471
chr16:3579992-3579992	chr16:3639991-3639991
chr10:75229902-75229910	chr10:75559896-75559904
chr5:80695399-80695399	chr5:80659643-80659643
chr11:55319733-55319733	chr11:55563157-55563157
chr3:23978907-23978907	chr3:24003903-24003903
chr8:145207267-145207267	chr8:145135279-145135279
chr10:26326109-26326109	chr10:26286103-26286103
chr2:187406118-187406118	chr2:187697873-187697873
chr11:92174253-92174255	chr11:92534605-92534607
chr8:25317006-25317006	chr8:25261089-25261089
chr15:38545444-38545444	chr15:40758152-40758152
chr20:1063936-1063936	chr20:1115936-1115936
chr19:45903145-45903145	chr19:41211305-41211305
chr11:65550415-65550415	chr11:65793839-65793839
chr4:39820831-39820831	chr4:40144436-40144436
chr1:173592177-173592177	chr1:175325554-175325554
chr7:12635372-12635372	chr7:12668847-12668847
chr3:161302274-161302274	chr3:159819580-159819580
chr2:216943050-216943050	chr2:217234805-217234805
chr1:246352132-246352132	chr1:248285509-248285509
chr1:157550497-157550534	chr1:159283873-159283910
chr19:63145812-63145812	chr19:58454000-58454000
chr5:137525730-137525730	chr5:137497831-137497831
chr9:135292747-135292747	chr9:136302926-136302926
chr9:108732709-108732709	chr9:109692888-109692888
chr8:143957477-143957477	chr8:143960475-143960475
chr17:58175495-58175495	chr17:60821763-60821763
chr12:73723184-73723184	chr12:75436917-75436917
chr5:148599529-148599529	chr5:148619336-148619336
chrX:35895666-35895666	chrX:35985745-35985745
chr1:64397412-64397412	chr1:64624824-64624824
chr3:45978826-45978826	chr3:46003822-46003822
chr1:199289320-199289320	chr1:201022697-201022697
chr11:17030390-17030390	chr11:17073814-17073814
chr9:139827761-139827761	chr9:140707940-140707940
chr7:138246564-138246564	chr7:138596024-138596024
